"Statistic Label","Year","Nace Rev 2 Activity","UNIT","VALUE"
"Construction Enterprises","2008","Development of building projects (411)","Number","2416"
"Construction Enterprises","2008","Construction of residential and non-residential buildings (412)","Number","13876"
"Construction Enterprises","2008","Construction of roads and railways (421)","Number","1027"
"Construction Enterprises","2008","Construction of utility projects (422)","Number","322"
"Construction Enterprises","2008","Construction of other civil engineering projects (429)","Number","381"
"Construction Enterprises","2008","Demolition and site preparation (431)","Number","766"
"Construction Enterprises","2008","Electrical, plumbing and other construction installation activities (432)","Number","11337"
"Construction Enterprises","2008","Building completion and finishing (433)","Number","22163"
"Construction Enterprises","2008","Other specialised construction activities (439)","Number","9617"
"Construction Enterprises","2008","Construction (41 to 43)","Number","61905"
"Construction Enterprises","2009","Development of building projects (411)","Number","3749"
"Construction Enterprises","2009","Construction of residential and non-residential buildings (412)","Number","13269"
"Construction Enterprises","2009","Construction of roads and railways (421)","Number","884"
"Construction Enterprises","2009","Construction of utility projects (422)","Number","316"
"Construction Enterprises","2009","Construction of other civil engineering projects (429)","Number","376"
"Construction Enterprises","2009","Demolition and site preparation (431)","Number","719"
"Construction Enterprises","2009","Electrical, plumbing and other construction installation activities (432)","Number","11111"
"Construction Enterprises","2009","Building completion and finishing (433)","Number","18973"
"Construction Enterprises","2009","Other specialised construction activities (439)","Number","8075"
"Construction Enterprises","2009","Construction (41 to 43)","Number","57472"
"Construction Enterprises","2010","Development of building projects (411)","Number","3222"
"Construction Enterprises","2010","Construction of residential and non-residential buildings (412)","Number","12143"
"Construction Enterprises","2010","Construction of roads and railways (421)","Number","802"
"Construction Enterprises","2010","Construction of utility projects (422)","Number","283"
"Construction Enterprises","2010","Construction of other civil engineering projects (429)","Number","310"
"Construction Enterprises","2010","Demolition and site preparation (431)","Number","649"
"Construction Enterprises","2010","Electrical, plumbing and other construction installation activities (432)","Number","11046"
"Construction Enterprises","2010","Building completion and finishing (433)","Number","17112"
"Construction Enterprises","2010","Other specialised construction activities (439)","Number","7040"
"Construction Enterprises","2010","Construction (41 to 43)","Number","52607"
"Construction Enterprises","2011","Development of building projects (411)","Number","3042"
"Construction Enterprises","2011","Construction of residential and non-residential buildings (412)","Number","11515"
"Construction Enterprises","2011","Construction of roads and railways (421)","Number","739"
"Construction Enterprises","2011","Construction of utility projects (422)","Number","270"
"Construction Enterprises","2011","Construction of other civil engineering projects (429)","Number","299"
"Construction Enterprises","2011","Demolition and site preparation (431)","Number","607"
"Construction Enterprises","2011","Electrical, plumbing and other construction installation activities (432)","Number","11141"
"Construction Enterprises","2011","Building completion and finishing (433)","Number","16157"
"Construction Enterprises","2011","Other specialised construction activities (439)","Number","6486"
"Construction Enterprises","2011","Construction (41 to 43)","Number","50256"
"Construction Enterprises","2012","Development of building projects (411)","Number","2850"
"Construction Enterprises","2012","Construction of residential and non-residential buildings (412)","Number","11221"
"Construction Enterprises","2012","Construction of roads and railways (421)","Number","719"
"Construction Enterprises","2012","Construction of utility projects (422)","Number","257"
"Construction Enterprises","2012","Construction of other civil engineering projects (429)","Number","316"
"Construction Enterprises","2012","Demolition and site preparation (431)","Number","594"
"Construction Enterprises","2012","Electrical, plumbing and other construction installation activities (432)","Number","11139"
"Construction Enterprises","2012","Building completion and finishing (433)","Number","16063"
"Construction Enterprises","2012","Other specialised construction activities (439)","Number","6371"
"Construction Enterprises","2012","Construction (41 to 43)","Number","49530"
"Construction Enterprises","2013","Development of building projects (411)","Number","2741"
"Construction Enterprises","2013","Construction of residential and non-residential buildings (412)","Number","10996"
"Construction Enterprises","2013","Construction of roads and railways (421)","Number","689"
"Construction Enterprises","2013","Construction of utility projects (422)","Number","268"
"Construction Enterprises","2013","Construction of other civil engineering projects (429)","Number","335"
"Construction Enterprises","2013","Demolition and site preparation (431)","Number","561"
"Construction Enterprises","2013","Electrical, plumbing and other construction installation activities (432)","Number","10930"
"Construction Enterprises","2013","Building completion and finishing (433)","Number","15737"
"Construction Enterprises","2013","Other specialised construction activities (439)","Number","6245"
"Construction Enterprises","2013","Construction (41 to 43)","Number","48502"
"Construction Enterprises","2014","Development of building projects (411)","Number","2482"
"Construction Enterprises","2014","Construction of residential and non-residential buildings (412)","Number","10633"
"Construction Enterprises","2014","Construction of roads and railways (421)","Number","670"
"Construction Enterprises","2014","Construction of utility projects (422)","Number","266"
"Construction Enterprises","2014","Construction of other civil engineering projects (429)","Number","358"
"Construction Enterprises","2014","Demolition and site preparation (431)","Number","547"
"Construction Enterprises","2014","Electrical, plumbing and other construction installation activities (432)","Number","10495"
"Construction Enterprises","2014","Building completion and finishing (433)","Number","15683"
"Construction Enterprises","2014","Other specialised construction activities (439)","Number","6215"
"Construction Enterprises","2014","Construction (41 to 43)","Number","47349"
"Construction Enterprises","2015","Development of building projects (411)","Number","2733"
"Construction Enterprises","2015","Construction of residential and non-residential buildings (412)","Number","11089"
"Construction Enterprises","2015","Construction of roads and railways (421)","Number","680"
"Construction Enterprises","2015","Construction of utility projects (422)","Number","276"
"Construction Enterprises","2015","Construction of other civil engineering projects (429)","Number","405"
"Construction Enterprises","2015","Demolition and site preparation (431)","Number","593"
"Construction Enterprises","2015","Electrical, plumbing and other construction installation activities (432)","Number","10861"
"Construction Enterprises","2015","Building completion and finishing (433)","Number","17051"
"Construction Enterprises","2015","Other specialised construction activities (439)","Number","6858"
"Construction Enterprises","2015","Construction (41 to 43)","Number","50546"
"Construction Enterprises","2016","Development of building projects (411)","Number","2887"
"Construction Enterprises","2016","Construction of residential and non-residential buildings (412)","Number","11193"
"Construction Enterprises","2016","Construction of roads and railways (421)","Number","697"
"Construction Enterprises","2016","Construction of utility projects (422)","Number","275"
"Construction Enterprises","2016","Construction of other civil engineering projects (429)","Number","432"
"Construction Enterprises","2016","Demolition and site preparation (431)","Number","595"
"Construction Enterprises","2016","Electrical, plumbing and other construction installation activities (432)","Number","10845"
"Construction Enterprises","2016","Building completion and finishing (433)","Number","17337"
"Construction Enterprises","2016","Other specialised construction activities (439)","Number","7307"
"Construction Enterprises","2016","Construction (41 to 43)","Number","51568"
"Construction Enterprises","2017","Development of building projects (411)","Number","3477"
"Construction Enterprises","2017","Construction of residential and non-residential buildings (412)","Number","12096"
"Construction Enterprises","2017","Construction of roads and railways (421)","Number","773"
"Construction Enterprises","2017","Construction of utility projects (422)","Number","308"
"Construction Enterprises","2017","Construction of other civil engineering projects (429)","Number","479"
"Construction Enterprises","2017","Demolition and site preparation (431)","Number","696"
"Construction Enterprises","2017","Electrical, plumbing and other construction installation activities (432)","Number","11526"
"Construction Enterprises","2017","Building completion and finishing (433)","Number","19478"
"Construction Enterprises","2017","Other specialised construction activities (439)","Number","8422"
"Construction Enterprises","2017","Construction (41 to 43)","Number","57255"
"Construction Enterprises","2018","Development of building projects (411)","Number","3827"
"Construction Enterprises","2018","Construction of residential and non-residential buildings (412)","Number","12082"
"Construction Enterprises","2018","Construction of roads and railways (421)","Number","783"
"Construction Enterprises","2018","Construction of utility projects (422)","Number","296"
"Construction Enterprises","2018","Construction of other civil engineering projects (429)","Number","498"
"Construction Enterprises","2018","Demolition and site preparation (431)","Number","695"
"Construction Enterprises","2018","Electrical, plumbing and other construction installation activities (432)","Number","11492"
"Construction Enterprises","2018","Building completion and finishing (433)","Number","19346"
"Construction Enterprises","2018","Other specialised construction activities (439)","Number","8607"
"Construction Enterprises","2018","Construction (41 to 43)","Number","57626"
