"Statistic Label","Year","Persons Engaged","UNIT","VALUE"
"Construction Enterprises","2008","0 - 9","Number","59076"
"Construction Enterprises","2008","10 - 49","Number","2544"
"Construction Enterprises","2008","50 - 249","Number","259"
"Construction Enterprises","2008","250 and over","Number","26"
"Construction Enterprises","2009","0 - 9","Number","55722"
"Construction Enterprises","2009","10 - 49","Number","1587"
"Construction Enterprises","2009","50 - 249","Number","147"
"Construction Enterprises","2009","250 and over","Number","16"
"Construction Enterprises","2010","0 - 9","Number","51380"
"Construction Enterprises","2010","10 - 49","Number","1128"
"Construction Enterprises","2010","50 - 249","Number","88"
"Construction Enterprises","2010","250 and over","Number","11"
"Construction Enterprises","2011","0 - 9","Number","49202"
"Construction Enterprises","2011","10 - 49","Number","975"
"Construction Enterprises","2011","50 - 249","Number","70"
"Construction Enterprises","2011","250 and over","Number","9"
"Construction Enterprises","2012","0 - 9","Number","48618"
"Construction Enterprises","2012","10 - 49","Number","847"
"Construction Enterprises","2012","50 - 249","Number","56"
"Construction Enterprises","2012","250 and over","Number","9"
"Construction Enterprises","2013","0 - 9","Number","47503"
"Construction Enterprises","2013","10 - 49","Number","924"
"Construction Enterprises","2013","50 - 249","Number","66"
"Construction Enterprises","2013","250 and over","Number","9"
"Construction Enterprises","2014","0 - 9","Number","46180"
"Construction Enterprises","2014","10 - 49","Number","1064"
"Construction Enterprises","2014","50 - 249","Number","89"
"Construction Enterprises","2014","250 and over","Number","16"
"Construction Enterprises","2015","0 - 9","Number","49192"
"Construction Enterprises","2015","10 - 49","Number","1240"
"Construction Enterprises","2015","50 - 249","Number","101"
"Construction Enterprises","2015","250 and over","Number","13"
"Construction Enterprises","2016","0 - 9","Number","49968"
"Construction Enterprises","2016","10 - 49","Number","1454"
"Construction Enterprises","2016","50 - 249","Number","132"
"Construction Enterprises","2016","250 and over","Number","14"
"Construction Enterprises","2017","0 - 9","Number","55387"
"Construction Enterprises","2017","10 - 49","Number","1696"
"Construction Enterprises","2017","50 - 249","Number","155"
"Construction Enterprises","2017","250 and over","Number","17"
"Construction Enterprises","2018","0 - 9","Number","55616"
"Construction Enterprises","2018","10 - 49","Number","1811"
"Construction Enterprises","2018","50 - 249","Number","178"
"Construction Enterprises","2018","250 and over","Number","21"
"Construction Enterprises","2019","0 - 9","Number","56935"
"Construction Enterprises","2019","10 - 49","Number","2007"
"Construction Enterprises","2019","50 - 249","Number","208"
"Construction Enterprises","2019","250 and over","Number","25"
"Employees - Manual","2008","0 - 9","Number",""
"Employees - Manual","2008","10 - 49","Number",""
"Employees - Manual","2008","50 - 249","Number",""
"Employees - Manual","2008","250 and over","Number",""
"Employees - Manual","2009","0 - 9","Number",""
"Employees - Manual","2009","10 - 49","Number",""
"Employees - Manual","2009","50 - 249","Number",""
"Employees - Manual","2009","250 and over","Number",""
"Employees - Manual","2010","0 - 9","Number",""
"Employees - Manual","2010","10 - 49","Number",""
"Employees - Manual","2010","50 - 249","Number",""
"Employees - Manual","2010","250 and over","Number",""
"Employees - Manual","2011","0 - 9","Number",""
"Employees - Manual","2011","10 - 49","Number",""
"Employees - Manual","2011","50 - 249","Number",""
"Employees - Manual","2011","250 and over","Number",""
"Employees - Manual","2012","0 - 9","Number",""
"Employees - Manual","2012","10 - 49","Number",""
"Employees - Manual","2012","50 - 249","Number",""
"Employees - Manual","2012","250 and over","Number",""
"Employees - Manual","2013","0 - 9","Number",""
"Employees - Manual","2013","10 - 49","Number",""
"Employees - Manual","2013","50 - 249","Number",""
"Employees - Manual","2013","250 and over","Number",""
"Employees - Manual","2014","0 - 9","Number",""
"Employees - Manual","2014","10 - 49","Number",""
"Employees - Manual","2014","50 - 249","Number",""
"Employees - Manual","2014","250 and over","Number",""
"Employees - Manual","2015","0 - 9","Number",""
"Employees - Manual","2015","10 - 49","Number",""
"Employees - Manual","2015","50 - 249","Number",""
"Employees - Manual","2015","250 and over","Number",""
"Employees - Manual","2016","0 - 9","Number",""
"Employees - Manual","2016","10 - 49","Number",""
"Employees - Manual","2016","50 - 249","Number",""
"Employees - Manual","2016","250 and over","Number",""
"Employees - Manual","2017","0 - 9","Number",""
"Employees - Manual","2017","10 - 49","Number",""
"Employees - Manual","2017","50 - 249","Number",""
"Employees - Manual","2017","250 and over","Number",""
"Employees - Manual","2018","0 - 9","Number",""
"Employees - Manual","2018","10 - 49","Number",""
"Employees - Manual","2018","50 - 249","Number",""
"Employees - Manual","2018","250 and over","Number",""
"Employees - Manual","2019","0 - 9","Number",""
"Employees - Manual","2019","10 - 49","Number",""
"Employees - Manual","2019","50 - 249","Number",""
"Employees - Manual","2019","250 and over","Number",""
"Employees - Other","2008","0 - 9","Number",""
"Employees - Other","2008","10 - 49","Number",""
"Employees - Other","2008","50 - 249","Number",""
"Employees - Other","2008","250 and over","Number",""
"Employees - Other","2009","0 - 9","Number",""
"Employees - Other","2009","10 - 49","Number",""
"Employees - Other","2009","50 - 249","Number",""
"Employees - Other","2009","250 and over","Number",""
"Employees - Other","2010","0 - 9","Number",""
"Employees - Other","2010","10 - 49","Number",""
"Employees - Other","2010","50 - 249","Number",""
"Employees - Other","2010","250 and over","Number",""
"Employees - Other","2011","0 - 9","Number",""
"Employees - Other","2011","10 - 49","Number",""
"Employees - Other","2011","50 - 249","Number",""
"Employees - Other","2011","250 and over","Number",""
"Employees - Other","2012","0 - 9","Number",""
"Employees - Other","2012","10 - 49","Number",""
"Employees - Other","2012","50 - 249","Number",""
"Employees - Other","2012","250 and over","Number",""
"Employees - Other","2013","0 - 9","Number",""
"Employees - Other","2013","10 - 49","Number",""
"Employees - Other","2013","50 - 249","Number",""
"Employees - Other","2013","250 and over","Number",""
"Employees - Other","2014","0 - 9","Number",""
"Employees - Other","2014","10 - 49","Number",""
"Employees - Other","2014","50 - 249","Number",""
"Employees - Other","2014","250 and over","Number",""
"Employees - Other","2015","0 - 9","Number",""
"Employees - Other","2015","10 - 49","Number",""
"Employees - Other","2015","50 - 249","Number",""
"Employees - Other","2015","250 and over","Number",""
"Employees - Other","2016","0 - 9","Number",""
"Employees - Other","2016","10 - 49","Number",""
"Employees - Other","2016","50 - 249","Number",""
"Employees - Other","2016","250 and over","Number",""
"Employees - Other","2017","0 - 9","Number",""
"Employees - Other","2017","10 - 49","Number",""
"Employees - Other","2017","50 - 249","Number",""
"Employees - Other","2017","250 and over","Number",""
"Employees - Other","2018","0 - 9","Number",""
"Employees - Other","2018","10 - 49","Number",""
"Employees - Other","2018","50 - 249","Number",""
"Employees - Other","2018","250 and over","Number",""
"Employees - Other","2019","0 - 9","Number",""
"Employees - Other","2019","10 - 49","Number",""
"Employees - Other","2019","50 - 249","Number",""
"Employees - Other","2019","250 and over","Number",""
"Employees - Total","2008","0 - 9","Number","66126"
