"Statistic Label","Year","Type of Building and Construction","UNIT","VALUE"
"Value of Production Index in Building and Construction","2000","All building and construction","Base 2015=100","155.85222131"
"Value of Production Index in Building and Construction","2000","Building (excluding civil engineering)","Base 2015=100","199.84425527"
"Value of Production Index in Building and Construction","2000","Residential building","Base 2015=100","311.69815985"
"Value of Production Index in Building and Construction","2000","Non-residential building","Base 2015=100","121.43124789"
"Value of Production Index in Building and Construction","2000","Civil engineering","Base 2015=100","63.61997861"
"Value of Production Index in Building and Construction","2001","All building and construction","Base 2015=100","176.58507586"
"Value of Production Index in Building and Construction","2001","Building (excluding civil engineering)","Base 2015=100","222.65537138"
"Value of Production Index in Building and Construction","2001","Residential building","Base 2015=100","359.55047731"
"Value of Production Index in Building and Construction","2001","Non-residential building","Base 2015=100","126.25970582"
"Value of Production Index in Building and Construction","2001","Civil engineering","Base 2015=100","77.780601388"
"Value of Production Index in Building and Construction","2002","All building and construction","Base 2015=100","188.70220848"
"Value of Production Index in Building and Construction","2002","Building (excluding civil engineering)","Base 2015=100","229.96048748"
"Value of Production Index in Building and Construction","2002","Residential building","Base 2015=100","391.50344458"
"Value of Production Index in Building and Construction","2002","Non-residential building","Base 2015=100","115.56898305"
"Value of Production Index in Building and Construction","2002","Civil engineering","Base 2015=100","95.15473211"
"Value of Production Index in Building and Construction","2003","All building and construction","Base 2015=100","211.01783184"
"Value of Production Index in Building and Construction","2003","Building (excluding civil engineering)","Base 2015=100","262.12281269"
"Value of Production Index in Building and Construction","2003","Residential building","Base 2015=100","480.3809431"
"Value of Production Index in Building and Construction","2003","Non-residential building","Base 2015=100","106.62220563"
"Value of Production Index in Building and Construction","2003","Civil engineering","Base 2015=100","98.908325386"
"Value of Production Index in Building and Construction","2004","All building and construction","Base 2015=100","252.81988458"
"Value of Production Index in Building and Construction","2004","Building (excluding civil engineering)","Base 2015=100","319.07013761"
"Value of Production Index in Building and Construction","2004","Residential building","Base 2015=100","605.12555721"
"Value of Production Index in Building and Construction","2004","Non-residential building","Base 2015=100","115.36824813"
"Value of Production Index in Building and Construction","2004","Civil engineering","Base 2015=100","107.38455201"
"Value of Production Index in Building and Construction","2005","All building and construction","Base 2015=100","290.94107948"
"Value of Production Index in Building and Construction","2005","Building (excluding civil engineering)","Base 2015=100","366.11714067"
"Value of Production Index in Building and Construction","2005","Residential building","Base 2015=100","698.49702612"
"Value of Production Index in Building and Construction","2005","Non-residential building","Base 2015=100","129.44689757"
"Value of Production Index in Building and Construction","2005","Civil engineering","Base 2015=100","125.9315247"
"Value of Production Index in Building and Construction","2006","All building and construction","Base 2015=100","319.80673773"
"Value of Production Index in Building and Construction","2006","Building (excluding civil engineering)","Base 2015=100","397.28555627"
"Value of Production Index in Building and Construction","2006","Residential building","Base 2015=100","751.67005519"
"Value of Production Index in Building and Construction","2006","Non-residential building","Base 2015=100","144.91810732"
"Value of Production Index in Building and Construction","2006","Civil engineering","Base 2015=100","149.84013612"
"Value of Production Index in Building and Construction","2007","All building and construction","Base 2015=100","290.15357285"
"Value of Production Index in Building and Construction","2007","Building (excluding civil engineering)","Base 2015=100","347.74043093"
"Value of Production Index in Building and Construction","2007","Residential building","Base 2015=100","619.91562902"
"Value of Production Index in Building and Construction","2007","Non-residential building","Base 2015=100","153.73902721"
"Value of Production Index in Building and Construction","2007","Civil engineering","Base 2015=100","164.08047257"
"Value of Production Index in Building and Construction","2008","All building and construction","Base 2015=100","212.38298697"
"Value of Production Index in Building and Construction","2008","Building (excluding civil engineering)","Base 2015=100","236.88030758"
"Value of Production Index in Building and Construction","2008","Residential building","Base 2015=100","351.22134622"
"Value of Production Index in Building and Construction","2008","Non-residential building","Base 2015=100","155.00182344"
"Value of Production Index in Building and Construction","2008","Civil engineering","Base 2015=100","159.18618643"
"Value of Production Index in Building and Construction","2009","All building and construction","Base 2015=100","132.02930569"
"Value of Production Index in Building and Construction","2009","Building (excluding civil engineering)","Base 2015=100","130.21910478"
"Value of Production Index in Building and Construction","2009","Residential building","Base 2015=100","145.10612133"
"Value of Production Index in Building and Construction","2009","Non-residential building","Base 2015=100","119.14456924"
"Value of Production Index in Building and Construction","2009","Civil engineering","Base 2015=100","136.68165303"
"Value of Production Index in Building and Construction","2010","All building and construction","Base 2015=100","93.81639392"
"Value of Production Index in Building and Construction","2010","Building (excluding civil engineering)","Base 2015=100","88.245861266"
"Value of Production Index in Building and Construction","2010","Residential building","Base 2015=100","92.08217799"
"Value of Production Index in Building and Construction","2010","Non-residential building","Base 2015=100","85.164123517"
"Value of Production Index in Building and Construction","2010","Civil engineering","Base 2015=100","106.60702692"
"Value of Production Index in Building and Construction","2011","All building and construction","Base 2015=100","76.231060977"
"Value of Production Index in Building and Construction","2011","Building (excluding civil engineering)","Base 2015=100","74.460470777"
"Value of Production Index in Building and Construction","2011","Residential building","Base 2015=100","65.564989163"
"Value of Production Index in Building and Construction","2011","Non-residential building","Base 2015=100","81.606268023"
"Value of Production Index in Building and Construction","2011","Civil engineering","Base 2015=100","80.296555401"
"Value of Production Index in Building and Construction","2012","All building and construction","Base 2015=100","74.998646622"
"Value of Production Index in Building and Construction","2012","Building (excluding civil engineering)","Base 2015=100","66.604594126"
