DATAFLOW,LAST UPDATE,freq,unit,lcstruct,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,AL,2012,2.1,
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,AL,2016,2.7,
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,AT,2000,20.1,d
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,AT,2004,22.3,d
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,AT,2008,22.2,
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,AT,2012,26.9,
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,AT,2016,28.1,
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,AT,2020,28.4,
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,AT,2021,28.8,p
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,AT,2022,29.9,p
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,BA,2012,6.3,
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,BA,2016,6.7,
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,BE,2000,17.7,d
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,BE,2012,30.3,
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,BE,2016,29.5,
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,BE,2020,31.3,
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,BE,2021,31.7,
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,BE,2022,34,
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,BG,2000,1.5,d
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,BG,2004,2.0,d
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,BG,2008,3.3,
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,BG,2012,5.0,
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,BG,2016,5.7,
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,BG,2020,8.1,
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,BG,2021,8.7,
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,BG,2022,10.3,
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,CH,2012,36.6,
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,CH,2016,42.8,
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,CY,2020,13.6,
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,CY,2021,15.2,
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,CY,2022,15.5,
ESTAT:LC_LCI_LEV(1.0),30/03/23 11:00:00,A,EUR,D11,B,CZ,2000,3.4,d
